fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, postcode, facility_id, facilityage, streettype, changerooms, longitude, latitude, objectid, faciltysportplayedid, suburbtown, lga, streetname
"Artificial Turf",null,"Tennis (Outdoor)","Rawson Recreation Reserve (Dunstan Oval)",3,"4. Good","N/A",3825,"BAWBAW12101","6 - 10 Years","Drive",null,146.400618000462,-37.9560019987262,738,19912,"RAWSON","BAW BAW","Pinnacle"
"Asphalt",null,"Tennis (Outdoor)","Rokeby tennis club",1,"2. Poor",null,3821,"BAWBAW12104",null,"Road",null,145.926424000452,-38.0706069994421,739,19916,"ROKEBY","BAW BAW","Brandy Creek"
null,null,"Tennis (Outdoor)","Thorpdale Recreation Reserve",5,"1. Very Poor","N/A",3835,"BAWBAW12106","51 Years +","Road","Male",146.187541000268,-38.2905689994066,740,19920,"THORPDALE","BAW BAW","Stockdales"
"Artificial Turf",null,"Tennis (Outdoor)","Warragul North Tennis Club",6,"3. Average","N/A",3820,"BAWBAW12142","26 - 50 Years","Street",null,145.933985000093,-38.1465319988728,741,19983,"WARRAGUL NORTH","BAW BAW","Charles"
"Artificial Turf",null,"Tennis (Outdoor)","Warragul Tennis & Skate park",6,"3. Average","N/A",3820,"BAWBAW12128","11 - 25 Years","Street",null,145.927998000048,-38.1650889988121,742,19963,"WARRAGUL","BAW BAW","Burke"
"Plexipave",null,"Tennis (Outdoor)","Willow Grove Recreation Reserve",4,"4. Good","< 1 Years",3825,"BAWBAW12144","26 - 50 Years","Road",null,146.178568999893,-38.0711179990706,743,19989,"WILLOW GROVE","BAW BAW","Main"
"Asphalt",null,"Tennis (Outdoor)","Yarragon tennis Club",3,null,null,3823,"BAWBAW12147",null,"Street",null,146.065237000078,-38.207183999283,744,19995,"YARRAGON","BAW BAW","Market"
"Wooden Gymnasium",null,"Volleyball","Bellbird Park Indoor Stadium",5,"3. Average","11 + Years",3818,"BAWBAW12084","26 - 50 Years","Road","Female, Male",145.842992999726,-38.1353029989366,745,19883,"DROUIN","BAW BAW","Settlement"
"Wooden Gymnasium",null,"Volleyball","Trafalgar High School",1,null,null,3824,"BAWBAW12113",null,"Road",null,146.158048999823,-38.2136299988622,746,19934,"TRAFALGAR","BAW BAW","School"
"Grass Running Track",null,"Athletics","Dendy Park",1,null,null,3186,"BAYSID12345",null,"Street",null,145.023220000413,-37.9250919990818,747,20415,"BRIGHTON EAST","BAYSIDE","Dendy"
"Synthetic Running Track",null,"Athletics","Glamis Avenue Reserve",1,null,null,3188,"BAYSID12351",null,"Avenue",null,145.017855000428,-37.9395129986456,748,20428,"HAMPTON","BAYSIDE","Glamis"
null,null,"Athletics","Glamis Avenue Reserve",null,"4. Good",null,null,"BAYSID5411","26 - 50 Years",null,null,145.0180000004,-37.9392999993801,749,27663,null,"BAYSIDE",null
"Grass Running Track",null,"Athletics","Wilson Reserve",1,null,null,3186,"BAYSID12372",null,"Cresent",null,144.993288000205,-37.9095219992879,750,20460,"BRIGHTON","BAYSIDE","Outer"
"Grass",null,"Australian Rules Football","Banksia Reserve",1,null,null,3193,"BAYSID12384",null,"Parade",null,145.042191000396,-37.986545999137,751,20479,"BEAUMARIS","BAYSIDE","Tramway"
null,null,"Australian Rules Football","Brighton Beach Oval",null,"4. Good",null,null,"BAYSID5409","51 Years +",null,null,144.991100000323,-37.9284999995032,752,27661,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","Brighton Beach Oval",1,null,null,3186,"BAYSID12330",null,"Road","Male, Umpire/Officials",144.990557000462,-37.9283709992396,753,20391,"BRIGHTON","BAYSIDE","Beach"
null,null,"Australian Rules Football","Castlefield Reserve",1,"4. Good",null,null,"BAYSID5405","51 Years +",null,null,145.011899999694,-37.9334999994763,754,27656,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","Cheltenham Recreation Reserve",1,null,null,3192,"BAYSID12388",null,"Road",null,145.050831000348,-37.9706629988843,755,20491,"CHELTENHAM","BAYSIDE","Weatherall"
null,null,"Australian Rules Football","Dendy Park",3,"4. Good",null,null,"BAYSID5404","51 Years +",null,null,145.022699999703,-37.9255999988063,756,27654,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","Donald McDonald Reserve",1,null,null,3193,"BAYSID12358",null,"Road",null,145.026046000165,-37.9819829994986,757,20442,"BEAUMARIS","BAYSIDE","Haydens"
"Grass",null,"Australian Rules Football","Easternwick Park Recreation Oval",1,null,null,3185,"BAYSID12352",null,"Road",null,144.993789999768,-37.884782998689,758,20431,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Grass",null,"Australian Rules Football","Peterson Street Reserve",1,null,null,3190,"BAYSID12376",null,"Street",null,145.02602200004,-37.9459539993214,760,20469,"HIGHETT","BAYSIDE","Peterson"
null,null,"Australian Rules Football","Peterson Street Reserve",2,"3. Average",null,null,"BAYSID5412","51 Years +",null,null,145.026100000154,-37.945899999154,761,27667,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","Tjilatjirrin Reserve",1,null,null,3191,"BAYSID12385",null,"Street",null,145.023194999934,-37.9611849991155,762,20483,"SANDRINGHAM","BAYSIDE","Tulip"
null,null,"Australian Rules Football","Trevor Barker Beach Oval",null,"4. Good",null,null,"BAYSID5414","51 Years +",null,null,145.000199999538,-37.9448999991582,763,27670,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","Trevor Barker Oval",1,null,null,3191,"BAYSID12331",null,"Road","Male, Umpire/Officials, Unisex",145.000240999584,-37.9447889990089,764,20394,"SANDRINGHAM","BAYSIDE","Beach"
null,null,"Australian Rules Football","William Street Reserve",1,"4. Good",null,null,"BAYSID5401","51 Years +",null,null,145.004200000361,-37.913099999484,765,27649,null,"BAYSIDE",null
"Grass",null,"Australian Rules Football","William Street Reserve",1,null,null,3186,"BAYSID12392",null,"Street",null,145.004681999712,-37.9131959993798,766,20498,"BRIGHTON","BAYSIDE","William"
null,null,"Australian Rules Football","Wilson Reserve",1,"4. Good",null,null,"BAYSID5400","51 Years +",null,null,144.992999999903,-37.9090999986576,767,27647,null,"BAYSIDE",null
"Grass",null,"Baseball","Moorabbin West Reserve",1,null,null,3188,"BAYSID12391",null,"Cresent",null,145.026844000273,-37.9404869991646,768,20495,"HAMPTON EAST","BAYSIDE","Widdop"
"Grass",null,"Baseball","Tjilatjirrin Reserve",2,null,null,3191,"BAYSID12385",null,"Street",null,145.023194999934,-37.9611849991155,769,20484,"SANDRINGHAM","BAYSIDE","Tulip"
"Synthetic Pitch",null,"Cricket","Balcombe Park Reserve",1,null,null,3193,"BAYSID12333",null,"Road",null,145.032051000528,-37.9767079994818,770,20398,"BEAUMARIS","BAYSIDE","Balcombe"
"Turf Pitch",null,"Cricket","Banksia Reserve",1,null,null,3193,"BAYSID12384",null,"Parade",null,145.042191000396,-37.986545999137,771,20480,"BEAUMARIS","BAYSIDE","Tramway"
"Synthetic Pitch",null,"Cricket","Bay Road Reserve",2,null,null,3191,"BAYSID12361",null,"Road",null,145.026686000563,-37.956596999379,772,20446,"SANDRINGHAM","BAYSIDE","Holloway"
"Turf Pitch",null,"Cricket","Beaumaris Reserve",1,null,null,3193,"BAYSID12343",null,"Road","Same as above",145.035302000489,-37.9830879986453,773,20412,"BEAUMARIS","BAYSIDE","Dalgetty"
"Synthetic Pitch",null,"Cricket","Black Rock Primary School",1,null,null,3193,"BAYSID12337",null,"Road",null,145.021871000271,-37.9682139987743,774,20403,"BLACK ROCK","BAYSIDE","Cheltenham"
"Turf Pitch",null,"Cricket","Boss James Reserve",1,null,null,3188,"BAYSID12362",null,"Cresent",null,145.021452000515,-37.9425449992433,775,20448,"HAMPTON","BAYSIDE","James"
null,null,"Cricket","Brighton Beach Oval",null,"4. Good",null,null,"BAYSID5409","51 Years +",null,null,144.991100000323,-37.9284999995032,776,27660,null,"BAYSIDE",null
"Turf Pitch",null,"Cricket","Brighton Beach Oval",1,null,null,3186,"BAYSID12330",null,"Road","Male, Umpire/Officials",144.990557000462,-37.9283709992396,777,20392,"BRIGHTON","BAYSIDE","Beach"
"Synthetic Pitch",null,"Cricket","Brighton Cricket Oval",1,null,null,3186,"BAYSID12357",null,"Street",null,144.992759000018,-37.9266729987184,778,20441,"BRIGHTON","BAYSIDE","Hartley"
"Turf Pitch",null,"Cricket","Brighton Cricket Oval",1,null,null,3186,"BAYSID12357",null,"Street",null,144.992759000018,-37.9266729987184,779,20440,"BRIGHTON","BAYSIDE","Hartley"
null,null,"Cricket","Castlefield Reserve",1,"4. Good",null,null,"BAYSID5405","51 Years +",null,null,145.011899999694,-37.9334999994763,780,27655,null,"BAYSIDE",null
"Turf Pitch",null,"Cricket","Castlefield Reserve",1,null,null,3188,"BAYSID12364",null,"Street",null,145.012072999912,-37.9334749986763,781,20451,"HAMPTON","BAYSIDE","Ludstone"
"Concrete Pitch",null,"Cricket","Cheltenham Park",1,null,null,3192,"BAYSID12374",null,"Road",null,145.048751000119,-37.9655879987849,782,20466,"CHELTENHAM","BAYSIDE","Park"
"Synthetic Pitch",null,"Cricket","Cheltenham Park",1,null,null,3192,"BAYSID12374",null,"Road",null,145.048751000119,-37.9655879987849,783,20465,"CHELTENHAM","BAYSIDE","Park"
"Turf Pitch",null,"Cricket","Cheltenham Recreation Reserve",1,null,null,3192,"BAYSID12388",null,"Road",null,145.050831000348,-37.9706629988843,784,20492,"CHELTENHAM","BAYSIDE","Weatherall"
"Turf Pitch",null,"Cricket","Dendy Park",3,null,null,3186,"BAYSID12345",null,"Street",null,145.023220000413,-37.9250919990818,785,20416,"BRIGHTON EAST","BAYSIDE","Dendy"
null,null,"Cricket","Dendy Park",3,"4. Good",null,null,"BAYSID5404","51 Years +",null,null,145.022699999703,-37.9255999988063,786,27653,null,"BAYSIDE",null
"Synthetic Pitch",null,"Cricket","Dendy Park",2,null,null,3186,"BAYSID12345",null,"Street",null,145.023220000413,-37.9250919990818,787,20420,"BRIGHTON EAST","BAYSIDE","Dendy"
"Synthetic Pitch",null,"Cricket","Donald McDonald Reserve",1,null,null,3193,"BAYSID12358",null,"Road",null,145.026046000165,-37.9819829994986,788,20443,"BEAUMARIS","BAYSIDE","Haydens"
"Turf Pitch",null,"Cricket","Easternwick Park Recreation Oval",2,null,null,3185,"BAYSID12352",null,"Road",null,144.993789999768,-37.884782998689,789,20432,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Synthetic Pitch",null,"Cricket","Elsternwick Park",2,null,null,3185,"BAYSID12359",null,"Street",null,144.993640000481,-37.8902659994737,790,20444,"ELSTERNWICK","BAYSIDE","Head"
"Synthetic Pitch",null,"Cricket","Hurlingham Park",1,null,null,3186,"BAYSID12375",null,"Avenue",null,145.013990999606,-37.9104179991748,791,20468,"BRIGHTON","BAYSIDE","Palmer"
"Turf Pitch",null,"Cricket","Hurlingham Park",1,null,null,3186,"BAYSID12375",null,"Avenue",null,145.013990999606,-37.9104179991748,792,20467,"BRIGHTON","BAYSIDE","Palmer"
null,null,"Cricket","Hurlingham Park",1,"4. Good",null,null,"BAYSID5402","51 Years +",null,null,145.014399999892,-37.9102999989895,793,27650,null,"BAYSIDE",null
"Synthetic Pitch",null,"Cricket","Moorabbin West Reserve",1,null,null,3188,"BAYSID12391",null,"Cresent",null,145.026844000273,-37.9404869991646,794,20496,"HAMPTON EAST","BAYSIDE","Widdop"
"Synthetic Pitch",null,"Cricket","Peterson Street Reserve",2,null,null,3190,"BAYSID12376",null,"Street",null,145.02602200004,-37.9459539993214,795,20470,"HIGHETT","BAYSIDE","Peterson"
null,null,"Cricket","Peterson Street Reserve",2,"3. Average",null,null,"BAYSID5412","51 Years +",null,null,145.026100000154,-37.945899999154,796,27666,null,"BAYSIDE",null
"Synthetic Pitch",null,"Cricket","R J Sillitoe Reserve",2,null,null,3186,"BAYSID12363",null,"Street",null,145.021060000106,-37.9342399989161,797,20449,"BRIGHTON","BAYSIDE","Lawson"
"Synthetic Pitch",null,"Cricket","R.G. Chisholm Reserve",1,null,null,3191,"BAYSID12346",null,"Street",null,145.018093999608,-37.9469239990515,798,20421,"SANDRINGHAM","BAYSIDE","Duncan"
"Turf Pitch",null,"Cricket","Shipston Reserve",1,null,null,3192,"BAYSID12342",null,"Road","Female, Male, Umpire/Officials",145.048730999819,-37.9689289990393,799,20409,"CHELTENHAM","BAYSIDE","Crawford"
"Synthetic Pitch",null,"Cricket","Tjilatjirrin Reserve",1,null,null,3191,"BAYSID12385",null,"Street",null,145.023194999934,-37.9611849991155,800,20485,"SANDRINGHAM","BAYSIDE","Tulip"
"Synthetic Pitch",null,"Cricket","Trevor Barker Oval",1,null,null,3191,"BAYSID12331",null,"Road","Male, Umpire/Officials",145.000240999584,-37.9447889990089,801,20395,"SANDRINGHAM","BAYSIDE","Beach"
"Synthetic Pitch",null,"Cricket","Whyte Street Reserve",1,null,null,3186,"BAYSID12325",null,"Street",null,145.000179999922,-37.9220259990475,802,20386,"BRIGHTON","BAYSIDE","Armfield"
"Synthetic Pitch",null,"Cricket","William Street Reserve",1,null,null,3186,"BAYSID12392",null,"Street",null,145.004681999712,-37.9131959993798,803,20499,"BRIGHTON","BAYSIDE","William"
null,null,"Cricket","William Street Reserve",1,"4. Good",null,null,"BAYSID5401","51 Years +",null,null,145.004200000361,-37.913099999484,804,27648,null,"BAYSIDE",null
"Turf Pitch",null,"Cricket","Wilson Reserve",null,null,null,3186,"BAYSID12372",null,"Cresent",null,144.993288000205,-37.9095219992879,805,20463,"BRIGHTON","BAYSIDE","Outer"
null,null,"Cricket","Wilson Reserve",1,"4. Good",null,null,"BAYSID5400","51 Years +",null,null,144.992999999903,-37.9090999986576,806,27646,null,"BAYSIDE",null
"Synthetic Pitch",null,"Cricket","Wilson Reserve",2,null,null,3186,"BAYSID12372",null,"Cresent",null,144.993288000205,-37.9095219992879,807,20461,"BRIGHTON","BAYSIDE","Outer"
"Synthetic Pitch",null,"Cricket","WL Simpson Reserve",1,null,null,3188,"BAYSID12349",null,"Road",null,145.02093399992,-37.9380189992258,808,20425,"HAMPTON","BAYSIDE","Fewster"
"Grass",null,"Croquet","Brighton Croquet Club",2,null,null,3186,"BAYSID12334",null,"Avenue",null,144.998341000512,-37.9135099989638,809,20400,"BRIGHTON","BAYSIDE","Bleazby"
"Grass",null,"Croquet","Sandringham Tennis/Croquet Club",5,null,null,3191,"BAYSID12332",null,"Road",null,145.000587000418,-37.9475319988776,810,20396,"SANDRINGHAM","BAYSIDE","Beach"
"Grass",null,"Croquet","Warleigh Croquet Club",2,null,null,3186,"BAYSID12387",null,"Grove",null,145.004255999713,-37.9048239991099,811,20490,"NORTH BRIGHTON","BAYSIDE","Warleigh"
null,"1/44","Fitness / Gymnasium Workouts","Body Focus Personal Training",null,null,null,3193,"BAYSID5559",null,"Street",null,145.035178000484,-37.9857389991982,812,27909,"BEAUMARIS","BAYSIDE","Edith"
null,"595","Fitness / Gymnasium Workouts","Bustamove Health & Fitness",1,null,null,3193,"BAYSID12326",null,"Road",null,145.017225999571,-37.9758579990342,813,20387,"BLACK ROCK","BAYSIDE","Balcombe"
null,"58","Fitness / Gymnasium Workouts","Contours Beaumaris",1,null,null,3193,"BAYSID12347",null,"Concourse",null,145.03510699963,-37.9853099988533,814,20422,"BEAUMARIS","BAYSIDE","East"
null,"15","Fitness / Gymnasium Workouts","Contours Brighton",1,null,null,3186,"BAYSID12366",null,"Street",null,144.996887999695,-37.9154549987899,815,20453,"BRIGHTON","BAYSIDE","Male"
null,"2","Fitness / Gymnasium Workouts","CoreWorks",1,null,null,3190,"BAYSID12365",null,"Street",null,145.052096999447,-37.954187998868,816,20452,"HIGHETT","KINGSTON","Maher"
null,"347","Fitness / Gymnasium Workouts","Crossfit Sandringham",1,null,null,3191,"BAYSID12329",null,"Road",null,145.041050999754,-37.9555769988333,817,20390,"SANDRINGHAM","BAYSIDE","Bay"
null,"557","Fitness / Gymnasium Workouts","Curves Hampton",1,null,null,3188,"BAYSID12355",null,"Street",null,145.003427000395,-37.930742999418,818,20438,"HAMPTON","BAYSIDE","Hampton"
null,"193A","Fitness / Gymnasium Workouts","F45",1,null,null,3186,"BAYSID12327",null,"Street",null,144.998553000437,-37.9047649991489,819,20388,"BRIGHTON","BAYSIDE","Bay"
null,"1261","Fitness / Gymnasium Workouts","Fernwood Southland",1,null,null,3192,"BAYSID12370",null,"Hwy",null,145.055608000341,-37.9617169987722,820,20458,"CHELTENHAM","KINGSTON","Nepean"
null,"115","Fitness / Gymnasium Workouts","Fit 4 Living",1,null,null,3186,"BAYSID12368",null,"Street",null,145.002133000005,-37.8970349993964,821,20456,"BRIGHTON","BAYSIDE","Martin"
null,"148","Fitness / Gymnasium Workouts","Fit To Go",1,null,null,3192,"BAYSID12340",null,"Road",null,145.05963299946,-37.9503179991557,822,20407,"CHELTENHAM","KINGSTON","Chesterville"
null,"241 - 245","Fitness / Gymnasium Workouts","Fitness First Bayside",1,null,null,3190,"BAYSID12328",null,"Road",null,145.031244999628,-37.954688999039,823,20389,"HIGHETT","BAYSIDE","Bay"
null,"531","Fitness / Gymnasium Workouts","Fitness First Brighton",1,null,null,3187,"BAYSID12369",null,"Hwy",null,145.012179000431,-37.9090729986883,824,20457,"BRIGHTON EAST","BAYSIDE","Nepean"
null,"338","Fitness / Gymnasium Workouts","Gecko Kids Fitness",1,null,null,3188,"BAYSID12380",null,"Road",null,145.032562000538,-37.9330289990514,825,20475,"HAMPTON EAST","BAYSIDE","South"
null,"350","Fitness / Gymnasium Workouts","Hampton Ladies Health Club",1,null,null,3188,"BAYSID12354",null,"Street",null,145.001436999762,-37.9433129989778,826,20437,"HAMPTON","BAYSIDE","Hampton"
null,"515","Fitness / Gymnasium Workouts","Harpers Fitness",1,null,null,3188,"BAYSID12335",null,"Road",null,145.024412000367,-37.9327299990672,827,20401,"HAMPTON","BAYSIDE","Bluff"
null,"328","Fitness / Gymnasium Workouts","Higher Level Training",1,null,null,3192,"BAYSID12378",null,"Road",null,145.03792100018,-37.961512999416,828,20472,"CHELTENHAM","BAYSIDE","Reserve"
null,"251","Fitness / Gymnasium Workouts","Middle Brighton Gymnasium",1,null,null,3186,"BAYSID12382",null,null,null,144.995686000369,-37.9084249987061,829,20477,"BRIGHTON","BAYSIDE","The Esplanade"
null,"210","Fitness / Gymnasium Workouts","One Fitness",1,null,null,3186,"BAYSID12371",null,"Street",null,144.999265999969,-37.90514899948,830,20459,"BRIGHTON","BAYSIDE","Bay"
null,"258","Fitness / Gymnasium Workouts","Push it Fitness & Health",1,null,null,3192,"BAYSID12336",null,"Road",null,145.055299999818,-37.9686609993803,831,20402,"CHELTENHAM","KINGSTON","Charman"
null,"10","Fitness / Gymnasium Workouts","Re-Creation Health Club",1,null,null,3188,"BAYSID12377",null,"Walk North",null,145.054104000553,-37.9047679994589,832,20471,"HAMPTON","GLEN EIRA","Railway"
null,"150","Fitness / Gymnasium Workouts","Re-Creation Health Club",null,null,null,3191,"BAYSID12386",null,"Street",null,145.054104000553,-37.9047679994589,833,20489,"SANDRINGHAM","GLEN EIRA","Tulip"
null,"8","Fitness / Gymnasium Workouts","Red Team Health & Fitness",1,null,null,3188,"BAYSID12393",null,"Street",null,145.000013000129,-37.9362199987008,834,20500,"HAMPTON","BAYSIDE","Willis"
null,"376","Fitness / Gymnasium Workouts","Strides Ahead",1,null,null,3190,"BAYSID12360",null,"Road",null,145.045372999809,-37.949306999147,835,20445,"HIGHETT","KINGSTON","Highett"
null,null,"Golf","Brighton Golf Course",null,"4. Good",null,null,"BAYSID5403","51 Years +",null,null,145.017099999886,-37.9258999989974,836,27652,null,"BAYSIDE",null
"18 Hole Course - Public","232","Golf","Brighton Public Golf Course",1,null,null,3186,"BAYSID12344",null,"Street",null,145.013588999919,-37.9250609988098,837,20414,"BRIGHTON","BAYSIDE","Dendy"
"9 Hole Course - Public",null,"Golf","Cheltenham Golf Club",1,null,null,3192,"BAYSID12389",null,"Road",null,145.046946999527,-37.9675049987993,838,20493,"CHELTENHAM","BAYSIDE","Weatherall"
null,null,"Golf","Elsternwick Golf Course",null,"4. Good",null,null,"BAYSID5407","51 Years +",null,null,144.994099999893,-37.8858999993528,839,27658,null,"BAYSIDE",null
"9 Hole Course - Public",null,"Golf","Elsternwick Public Golf Course",1,null,null,3185,"BAYSID12394",null,"Road",null,144.993789999768,-37.884782998689,840,20501,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"18 Hole Course - Private",null,"Golf","Royal Melbourne Golf Club",1,null,null,3192,"BAYSID12338",null,"Road",null,145.030317999665,-37.9708919993253,841,20404,"CHELTENHAM","BAYSIDE","Cheltenham"
"18 Hole Course - Private",null,"Golf","Sandringham Golf Links",1,null,null,3192,"BAYSID12339",null,"Road",null,145.030317999665,-37.9708919993253,842,20406,"CHELTENHAM","BAYSIDE","Cheltenham"
"18 Hole Course - Private",null,"Golf","Victoria Golf Club",1,null,null,3192,"BAYSID12390",null,"Road",null,145.046946999527,-37.9675049987993,843,20494,"CHELTENHAM","BAYSIDE","Weatherall"
null,"93","Gymnastics","Brighton Recreation Centre",null,null,null,3186,"BAYSID11453",null,"Cresent",null,144.994174999686,-37.9099319990678,844,27305,"BRIGHTON","BAYSIDE","Outer"
null,null,"Hockey","Boss James Reserve",null,"4. Good",null,null,"BAYSID5413","26 - 50 Years",null,null,145.021800000408,-37.9425999993218,845,27669,null,"BAYSIDE",null
"Artificial Turf",null,"Hockey","Brighton Secondary College",1,null,null,3187,"BAYSID11289",null,"Road",null,145.018370000313,-37.9218369986743,846,27174,"BRIGHTON EAST","BAYSIDE","Marriage"
"Grass","6","Lawn Bowls","Black Rock Bowling Club",3,null,null,3193,"BAYSID4267",null,"Street",null,145.019631000093,-37.9656869990972,847,26734,"BLACK ROCK","BAYSIDE","Fern"
null,null,"Lawn Bowls","Brighton Beach Lawn Bowls Club",5,"4. Good",null,null,"BAYSID5410","51 Years +",null,null,144.989899999789,-37.9278999989505,848,27662,null,"BAYSIDE",null
"Grass",null,"Lawn Bowls","Brighton Beach Oval",1,null,null,3186,"BAYSID12330",null,"Road","Male, Umpire/Officials",144.990557000462,-37.9283709992396,849,20393,"BRIGHTON","BAYSIDE","Beach"
"Grass",null,"Lawn Bowls","Brighton Bowls Club",1,null,null,3186,"BAYSID12373",null,"Street",null,144.989224999449,-37.913203999094,850,20464,"BRIGHTON","BAYSIDE","Park"
"Grass",null,"Lawn Bowls","Dendy Park",2,null,null,3186,"BAYSID12345",null,"Street",null,145.023220000413,-37.9250919990818,851,20417,"BRIGHTON EAST","BAYSIDE","Dendy"
"Grass",null,"Lawn Bowls","Easternwick Park Recreation Oval",2,null,null,3185,"BAYSID12352",null,"Road",null,144.993789999768,-37.884782998689,852,20433,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Grass",null,"Lawn Bowls","F L Yott Reserve",2,null,null,3193,"BAYSID12367",null,"Street",null,145.038711000148,-37.9912309989939,853,20454,"BEAUMARIS","BAYSIDE","Martin"
"Grass",null,"Lawn Bowls","Hampton Bowls Club",3,null,null,3188,"BAYSID12350",null,"Road",null,145.015099999903,-37.9376349989468,854,20427,"HAMPTON","BAYSIDE","Fewster"
"Grass",null,"Lawn Bowls","Hampton R.S.L Bowling Club",1,null,null,3188,"BAYSID12356",null,"Street",null,144.996142999572,-37.9323179990992,855,20439,"HAMPTON","BAYSIDE","Hardie"
null,null,"Lawn Bowls","Hardie St Lawn Bowls Club",null,"4. Good",null,null,"BAYSID5406","51 Years +",null,null,144.996299999484,-37.9322999992932,856,27657,null,"BAYSIDE",null
"Grass",null,"Lawn Bowls","Highett Bowls Club",2,null,null,3190,"BAYSID12353",null,"Road",null,145.043819999548,-37.9521899991704,857,20436,"HIGHETT","BAYSIDE","Graham"
null,null,"Lawn Bowls","Lyle Anderson Reserve",null,"4. Good",null,null,"BAYSID5399","26 - 50 Years",null,null,145.026599999512,-37.9466999990136,858,27645,null,"BAYSIDE",null
"Grass",null,"Lawn Bowls","Royal Melbourne Golf Club",3,null,null,3192,"BAYSID12338",null,"Road",null,145.030317999665,-37.9708919993253,859,20405,"CHELTENHAM","BAYSIDE","Cheltenham"
"Grass","25","Lawn Bowls","Sandringham Bowls Club",2,null,null,3191,"BAYSID4268",null,"Street",null,145.022220999805,-37.9620339991876,860,26735,"SANDRINGHAM","BAYSIDE","Tulip"
null,null,"Netball","Boss James Reserve",null,"4. Good",null,null,"BAYSID5413","26 - 50 Years",null,null,145.021800000408,-37.9425999993218,861,27668,null,"BAYSIDE",null
"Asphalt",null,"Netball","Glamis Avenue Reserve",6,null,null,3188,"BAYSID12351",null,"Avenue",null,145.017855000428,-37.9395129986456,862,20429,"HAMPTON","BAYSIDE","Glamis"
null,null,"Sailing","Beaumaris Motor Yacht Squadron",null,null,null,3193,"BAYSID11219",null,"Road",null,145.044060000153,-37.9905219989089,863,26765,"BEAUMARIS","BAYSIDE","Beach"
null,null,"Sailing","Beaumaris Yacht Club",null,null,null,3193,"BAYSID11220",null,"Road",null,145.027365999652,-37.9894399992255,864,26766,"BEAUMARIS","Bayside City Council","Beach"
null,null,"Sailing","Black Rock Yacht Club",null,null,null,3193,"BAYSID11221",null,"Road",null,145.010256999592,-37.969596998958,865,26767,"BLACK ROCK","BAYSIDE","Beach"
null,null,"Sailing","Hampton Sailing Club",null,null,null,3191,"BAYSID11222",null,"Road",null,144.996696000356,-37.9458539995193,866,26768,"SANDRINGHAM","BAYSIDE","Jetty"
null,"253","Sailing","Royal Brighton Yacht Club",null,null,null,3186,"BAYSID11223",null,"Esplanade",null,144.985809999736,-37.9093179987846,867,26769,"BRIGHTON","BAYSIDE","The"
null,null,"Sailing","Sandringham Yacht Club",null,null,null,3191,"BAYSID11224",null,"Road",null,144.996319999945,-37.9460819988838,868,26770,"SANDRINGHAM","BAYSIDE","Jetty"
null,null,"Skating","Glamis Avenue Reserve",null,"4. Good",null,null,"BAYSID5411","26 - 50 Years",null,null,145.0180000004,-37.9392999993801,869,27665,null,"BAYSIDE",null
null,null,"Skating","Royal Avenue Reserve",1,null,null,3191,"BAYSID12379",null,"Avenue",null,145.014707999963,-37.9591579993191,870,20473,"SANDRINGHAM","BAYSIDE","Royal"
"Grass",null,"Soccer","Balcombe Park Reserve",1,null,null,3193,"BAYSID12333",null,"Road",null,145.032051000528,-37.9767079994818,871,20399,"BEAUMARIS","BAYSIDE","Balcombe"
"Grass",null,"Soccer","Bay Road Reserve",2,null,null,3191,"BAYSID12361",null,"Road",null,145.026686000563,-37.956596999379,872,20447,"SANDRINGHAM","BAYSIDE","Holloway"
"Grass",null,"Soccer","Beaumaris Reserve",2,null,null,3193,"BAYSID12343",null,"Road","Female, Male, Umpire/Officials",145.035302000489,-37.9830879986453,873,20411,"BEAUMARIS","BAYSIDE","Dalgetty"
"Grass",null,"Soccer","Dendy Park",7,null,null,3186,"BAYSID12345",null,"Street",null,145.023220000413,-37.9250919990818,874,20418,"BRIGHTON EAST","BAYSIDE","Dendy"
"Grass",null,"Soccer","Glamis Avenue Reserve",1,null,null,3188,"BAYSID12351",null,"Avenue",null,145.017855000428,-37.9395129986456,875,20430,"HAMPTON","BAYSIDE","Glamis"
null,null,"Soccer","Glamis Avenue Reserve",null,"4. Good",null,null,"BAYSID5411","26 - 50 Years",null,null,145.0180000004,-37.9392999993801,876,27664,null,"BAYSIDE",null
"Grass",null,"Soccer","R J Sillitoe Reserve",1,null,null,3186,"BAYSID12363",null,"Street",null,145.021060000106,-37.9342399989161,877,20450,"BRIGHTON","BAYSIDE","Lawson"
"Grass",null,"Soccer","Shipston Reserve",2,null,null,3192,"BAYSID12342",null,"Road","Same as above",145.048730999819,-37.9689289990393,878,20410,"CHELTENHAM","BAYSIDE","Crawford"
